More strict,Less strict,Kept as now,No opinion,year,month
0.56,0.12,0.31,,2023,Oct 
0.57,0.1,0.32,0.01,2022,Oct 
0.66,0.08,0.25,,2022,Jun 
0.52,0.11,0.35,0.01,2021,Oct 
0.57,0.09,0.34,,2020,Sep 
0.64,0.07,0.28,0.01,2019,Oct 
0.63,0.07,0.29,0.01,2019,Aug 
0.61,0.08,0.3,0.02,2018,Oct 
0.67,0.04,0.28,0.01,2018,Mar 
0.6,0.05,0.33,0.01,2017,Oct 
0.55,0.1,0.34,0.01,2016,Oct 
0.55,0.11,0.33,,2015,Oct 
0.47,0.14,0.38,0.01,2014,Oct 
0.49,0.13,0.37,0.01,2013,Oct 
0.49,0.13,0.37,0.02,2013,Sep 
0.58,0.06,0.34,0.02,2012,Dec 
0.43,0.11,0.44,0.02,2011,Oct 
0.44,0.12,0.42,0.02,2010,Oct 
0.44,0.12,0.43,0.01,2009,Oct 
0.49,0.08,0.41,0.02,2008,Oct 
0.51,0.08,0.39,0.02,2007,Oct 
0.56,0.09,0.33,0.02,2006,Oct 
0.57,0.07,0.35,0.01,2005,Oct 
0.54,0.11,0.34,0.01,2004,Oct 
0.6,0.06,0.34,,2004,Jan 
0.55,0.09,0.36,,2003,Oct 
0.51,0.11,0.36,0.02,2002,Oct 
0.53,0.08,0.38,0.01,2001,Oct 
0.62,0.05,0.31,0.02,2000,May 
0.61,0.07,0.3,0.02,2000,Apr 
0.6,0.1,0.29,0.01,1999,Dec 
0.66,0.06,0.27,0.01,1999,Aug 
0.62,0.06,0.31,0.01,1999,Jun 
0.65,0.05,0.28,0.02,1999,May 
0.66,0.07,0.25,0.02,1999,Apr 
0.6,0.09,0.29,0.02,1999,Feb 
0.62,0.12,0.24,0.02,1995,Apr 
0.67,0.07,0.25,0.01,1993,Dec 
0.7,0.04,0.24,0.02,1993,Mar 
0.68,0.05,0.25,0.02,1991,Mar 
0.78,0.02,0.17,0.03,1990,Sep 
