,1,2-4,5+,None,No opinion,Mean
,%,%,%,%,%,
2023 Oct 2-23,29,33,22,--,16,4.9
2010 Oct 7-10,30,37,22,--,11,4.2
2004 Oct 11-14,31,33,29,--,7,4.4
2002 Oct 14-17,23,45,24,--,8,4
2000 Aug 29-Sep 5,28,41,21,--,10,4.1
1999 Feb 8-9,26,38,24,--,12,4.4
1996 Jul 25-28,28,34,25,--,13,4.3
1993 Dec 17-21,24,39,29,--,8,4.5
2023 Oct 2-23,13,14,9,57,7,1.9
2010 Oct 7-10,12,15,9,57,7,1.6
2004 Oct 11-14,12,13,12,59,4,1.7
2002 Oct 14-17,10,20,11,55,4,1.9
2000 Aug 29-Sep 5,11,17,9,58,5,1.6
1999 Feb 8-9,10,14,10,60,6,1.7
1996 Jul 25-28,10,14,10,58,7,1.6
